"lon","lat","mean_sea_dist_m"
-97.5,26.6197185516357,19375.3173122674
-82.5,27.8873233795166,18864.8008508614
-100,29.1549301147461,289040.200943126
-97.5,29.1549301147461,99201.7873052816
-82.5,29.1549301147461,36565.1256103816
-102.5,30.422534942627,567776.370673471
-100,30.422534942627,374166.74511007
-97.5,30.422534942627,209034.232291334
-95,30.422534942627,79224.7811484863
-92.5,30.422534942627,76937.2689196949
-90,30.422534942627,22985.0279678079
-87.5,30.422534942627,18424.6687332294
-85,30.422534942627,49217.3339166269
-82.5,30.422534942627,88613.8608383016
-110,31.6901416778564,296470.47513384
-105,31.6901416778564,683351.157445559
-102.5,31.6901416778564,649493.415805737
-100,31.6901416778564,464048.238599771
-97.5,31.6901416778564,323975.042345692
-95,31.6901416778564,214484.257618258
-92.5,31.6901416778564,211422.911058771
-90,31.6901416778564,148770.592974619
-87.5,31.6901416778564,120000.6017465
-85,31.6901416778564,167697.657680884
-82.5,31.6901416778564,114128.928984555
-115,32.9577445983887,120882.521128366
-112.5,32.9577445983887,195970.070579093
-110,32.9577445983887,350601.277301717
-107.5,32.9577445983887,560361.998999331
-105,32.9577445983887,772907.360844697
-102.5,32.9577445983887,733556.64213434
-100,32.9577445983887,572278.258828983
-97.5,32.9577445983887,432979.206388175
-95,32.9577445983887,350318.808247112
-92.5,32.9577445983887,345678.92743989
-90,32.9577445983887,288892.982234747
-87.5,32.9577445983887,257941.447924314
-85,32.9577445983887,299036.928558092
-82.5,32.9577445983887,169826.023692498
-80,32.9577445983887,28081.6627689473
-117.5,34.2253532409668,78019.2132837428
-115,34.2253532409668,242195.57362006
-112.5,34.2253532409668,320161.513020876
-110,34.2253532409668,444478.295549754
-107.5,34.2253532409668,621461.109674045
-105,34.2253532409668,827048.417120391
-102.5,34.2253532409668,829035.665132126
-100,34.2253532409668,687373.974230337
-97.5,34.2253532409668,555756.389169577
-95,34.2253532409668,486793.717398232
-92.5,34.2253532409668,476185.114344043
-90,34.2253532409668,427155.640124344
-87.5,34.2253532409668,397410.924869228
-85,34.2253532409668,420854.431000876
-82.5,34.2253532409668,255301.178498258
-80,34.2253532409668,116528.420385396
-120,35.4929580688477,74121.6717328531
-117.5,35.4929580688477,190199.313795818
-115,35.4929580688477,333687.465048688
-112.5,35.4929580688477,451014.736415996
-110,35.4929580688477,556742.423363269
-107.5,35.4929580688477,705068.72260488
-105,35.4929580688477,889201.855017725
-102.5,35.4929580688477,935249.501831475
-100,35.4929580688477,795494.734934907
-97.5,35.4929580688477,684614.412790118
-95,35.4929580688477,623959.885562218
-92.5,35.4929580688477,607767.796774313
-90,35.4929580688477,563180.215660522
-87.5,35.4929580688477,536610.374142901
-85,35.4929580688477,515374.766264576
-82.5,35.4929580688477,371289.413480802
-80,35.4929580688477,222144.50210317
-77.5,35.4929580688477,45827.8777481229
-120,36.7605628967285,151611.633383801
-117.5,36.7605628967285,316677.390890918
-115,36.7605628967285,438665.078068047
-112.5,36.7605628967285,582447.432185348
-110,36.7605628967285,675134.206191133
-107.5,36.7605628967285,805220.708871426
-105,36.7605628967285,968365.769224326
-102.5,36.7605628967285,1047523.17068404
-100,36.7605628967285,911845.685130112
-97.5,36.7605628967285,818203.7366833
-95,36.7605628967285,763353.573505667
-92.5,36.7605628967285,741868.334156985
-90,36.7605628967285,699839.714967631
-87.5,36.7605628967285,677359.364152802
-85,36.7605628967285,615740.968731068
-82.5,36.7605628967285,460479.55724914
-80,36.7605628967285,253863.880053019
-77.5,36.7605628967285,59245.7859412107
-122.5,38.0281677246094,13470.9536277796
-120,38.0281677246094,137613.985742502
-117.5,38.0281677246094,354317.603747301
-115,38.0281677246094,544641.982250157
-112.5,38.0281677246094,691375.725287467
-110,38.0281677246094,798286.6638433
-107.5,38.0281677246094,915948.147308917
-105,38.0281677246094,1060341.67781266
-102.5,38.0281677246094,1155373.03827567
-100,38.0281677246094,1034303.42832723
-97.5,38.0281677246094,953701.761168564
-95,38.0281677246094,903361.931451273
-92.5,38.0281677246094,877839.552021808
-90,38.0281677246094,836820.78272256
-87.5,38.0281677246094,817769.724852451
