"lon","lat","mean_elev","sd_elev"
-97.5,26.6197185516357,-3.81234258113254,15.8705519846457
-82.5,27.8873233795166,10.4917220711485,15.6162978633824
-100,29.1549301147461,315.110303322475,109.10761613355
-97.5,29.1549301147461,96.2155383112122,34.8561817327294
-82.5,29.1549301147461,15.2254369618162,11.9538129192919
-102.5,30.422534942627,959.25500153235,183.821895502324
-100,30.422534942627,662.576275340499,49.4331739993807
-97.5,30.422534942627,189.441313178076,63.2695812207973
-95,30.422534942627,49.8403348086249,30.1873380340283
-92.5,30.422534942627,12.7735995860711,10.8603808526851
-90,30.422534942627,19.3653795363704,25.1367892408055
-87.5,30.422534942627,7.02181858106581,31.5773361642235
-85,30.422534942627,30.5915841380872,21.9814463775225
-82.5,30.422534942627,36.6549598628191,9.32543738050324
-110,31.6901416778564,1401.85645062917,183.780599091561
-105,31.6901416778564,1366.12580437539,221.115185244186
-102.5,31.6901416778564,858.203403501537,74.7795955098064
-100,31.6901416778564,575.060430328675,58.8571921189693
-97.5,31.6901416778564,232.771148691495,64.5162923600015
-95,31.6901416778564,108.768604429505,29.0360995962164
-92.5,31.6901416778564,41.5839932810043,17.51417409868
-90,31.6901416778564,109.061116319802,24.7329386996225
-87.5,31.6901416778564,64.5824319703853,33.9868790127858
-85,31.6901416778564,98.4945572417881,31.4878187615017
-82.5,31.6901416778564,52.8136559350336,16.4809688618957
-115,32.9577445983887,142.627523675771,156.694984324952
-112.5,32.9577445983887,432.271917459749,172.724308449597
-110,32.9577445983887,1357.33888999114,370.068968547435
-107.5,32.9577445983887,1721.34903245858,365.59682182083
-105,32.9577445983887,1537.90084942733,309.822722725803
-102.5,32.9577445983887,1019.19062902404,67.6634943272536
-100,32.9577445983887,523.042608391569,52.4234389421152
-97.5,32.9577445983887,246.48801244553,53.2993853817492
-95,32.9577445983887,112.753243328877,22.2859047769406
-92.5,32.9577445983887,49.811435865449,21.83796301222
-90,32.9577445983887,84.7144180465377,31.388707500633
-87.5,32.9577445983887,89.15394686962,40.9501556737931
-85,32.9577445983887,224.985378922566,51.4664869016701
-82.5,32.9577445983887,101.135050342758,29.1153292870683
-80,32.9577445983887,5.75854192953256,12.1588713718665
-117.5,34.2253532409668,817.691811461805,506.867735298123
-115,34.2253532409668,435.825897007964,218.314314800919
-112.5,34.2253532409668,1143.33098445129,423.916187189092
-110,34.2253532409668,1953.05736649433,337.634178942448
-107.5,34.2253532409668,2111.8397413204,257.99018482559
-105,34.2253532409668,1604.26274454373,194.0752517001
-102.5,34.2253532409668,1152.71917373298,59.1814532505204
-100,34.2253532409668,503.612992075441,57.3008366424949
-97.5,34.2253532409668,285.571932891308,42.3348583832996
-95,34.2253532409668,219.618200766736,106.413984568167
-92.5,34.2253532409668,88.2920467822609,36.1191946401382
-90,34.2253532409668,76.5513553187656,29.3013278187073
-87.5,34.2253532409668,198.501561094491,45.3555420514419
-85,34.2253532409668,284.956701294738,73.7924611929835
-82.5,34.2253532409668,179.74093568844,43.4613242244742
-80,34.2253532409668,52.737778054422,32.2161188218993
-120,35.4929580688477,435.724526365703,274.108276244953
-117.5,35.4929580688477,904.046297268874,278.264531500795
-115,35.4929580688477,918.625786868997,372.971231721203
